"CP"	"GE"	"Early Fusion"	"RGCCA"	"MCIA"	"MOFA"	"iCluster"	"intNMF"	"JIVE"	"scikit-fusion"
0.188407875	0.158852641	0.155445963	0.199950627	0.178443793	0.179828374	0.079365079	0.167779642	0.166961766	0.119892686
0.175651634	0.171142449	0.158127203	0.191347613	0.195579897	0.178017005	0.2	0.170611727	0.166003424	0.11948773
0.17865041	0.155742474	0.18308929	0.187846662	0.185773521	0.183502339	0.06	0.167828001	0.164108882	0.120033978
0.194311319	0.158786831	0.175152329	0.188190067	0.18457021	0.17641168	0.0625	0.164302617	0.158739428	0.119227709
0.193254176	0.15960622	0.175409666	0.187384662	0.179096717	0.18390748	0.105263158	0.163219297	0.167798949	0.121511195
0.18617729	0.155678692	0.167753437	0.194289268	0.174803478	0.175536734	0.083333333	0.164659934	0.159521227	0.123949342
0.179601909	0.156356456	0.161356004	0.193791932	0.183172202	0.175497751	0.051724138	0.162390982	0.170494378	0.120299648
0.18963734	0.156625601	0.166336797	0.193811041	0.179803533	0.17315947	0.183333333	0.156586373	0.170302999	0.11827188
0.184352173	0.152024514	0.16540649	0.19131148	0.172935734	0.178541939	0.223529412	0.176281185	0.157959047	0.116664658
0.189699393	0.148682331	0.164026646	0.201137787	0.182479125	0.168811084	0.620689655	0.175702153	0.162975292	0.120901982
0.180999142	0.161272099	0.160666305	0.20022499	0.185258429	0.176733567	0.016666667	0.165612072	0.160725882	0.116746776
0.180157675	0.157840116	0.167903519	0.200828676	0.182595129	0.175124784	0.046875	0.170652949	0.16434307	0.121763081
0.175230255	0.155045636	0.166836702	0.198913695	0.177755714	0.181654699	0.051282051	0.161360514	0.162028228	0.116845951
0.184173371	0.155724161	0.16486378	0.186722298	0.172474892	0.176250337	0.058823529	0.167288187	0.161137409	0.118986834
0.187505371	0.162342476	0.170702512	0.18814401	0.180784286	0.175958655	0.043478261	0.168911293	0.158109144	0.11885624
0.184911138	0.152442416	0.170156448	0.194377939	0.174680795	0.184703302	0.111111111	0.1634296	0.157688838	0.117673344
0.200188868	0.167102791	0.175260347	0.207820825	0.180506812	0.181896395	0.452380952	0.177000251	0.159222812	0.118347626
0.185687782	0.145595456	0.166612367	0.194777853	0.180121812	0.18308245	0.06122449	0.163437656	0.167444436	0.116668697
0.184420505	0.164602208	0.162737406	0.195980252	0.179240673	0.182344867	0.117647059	0.170539941	0.166948171	0.124213738
0.189296239	0.15369093	0.175729401	0.197048519	0.181657677	0.172635318	0.060869565	0.166161194	0.160457602	0.122806357
0.185131847	0.153377751	0.157125437	0.198765646	0.176936046	0.177792184	0.1	0.159993478	0.166106644	0.123517094
0.191163865	0.153658909	0.173349824	0.196983778	0.175305658	0.184276093	0.063829787	0.165410291	0.164367546	0.122196122
0.182868061	0.152204389	0.164102408	0.193891247	0.179592803	0.171609376	0.051724138	0.162577	0.168739518	0.11732252
0.182594781	0.158816683	0.172826354	0.203075052	0.179938037	0.169869442	0.28	0.160315945	0.158795732	0.121053386
0.1857397	0.1627972	0.164690579	0.193372016	0.178605952	0.180772956	0.681818182	0.172442065	0.166283947	0.12059789
0.185656684	0.154339706	0.164199974	0.191689141	0.175449618	0.178893609	0.041666667	0.170628469	0.165995994	0.114831952
0.183158086	0.152878986	0.163597095	0.194775553	0.176895727	0.175380238	0.048	0.161713348	0.176740485	0.124128933
0.184734257	0.149737635	0.170376461	0.194929765	0.179171628	0.185745275	0.14	0.166058303	0.167017443	0.115490732
0.179232878	0.156775481	0.161159229	0.202649183	0.187129908	0.172128717	0.065420561	0.180383253	0.157901665	0.121413283
0.178903625	0.157511588	0.16991642	0.197078156	0.191806662	0.181379942	0.131578947	0.162768724	0.160685666	0.119430025
0.177152292	0.163682115	0.167529903	0.20160861	0.185839945	0.175390124	0.417721519	0.171189056	0.163199997	0.122366042
0.186724616	0.148527899	0.179844588	0.192022594	0.174337312	0.179788153	0.08	0.170737665	0.165948529	0.120087864
0.185444784	0.159524103	0.166411955	0.195164402	0.180475026	0.176058824	0.607142857	0.164282465	0.160104594	0.122952826
0.189335143	0.146887219	0.16845284	0.192139051	0.180729516	0.186868239	0.056603774	0.168942511	0.160584253	0.12571239
